ID,Question,Answer,Option1,Option2,Option3,Option4,Difficulty,Category,Version
1,"What does #KMNOYM stand for?","Keep My Name Out Your Mouth","Keep My Name Out Your Mouth","Kiss Me Now Or You're Mad","Keep Moving Never Overthink Yourself","Know My Name Or You're Missing",medium,culture-tags,1.0
2,"What does #NTS stand for?","Not Today Satan","Not Today Satan","Never Trust Strangers","No Time Soon","Nothing To Say",easy,culture-tags,1.0
3,"What does #WAWG stand for?","We All We Got","We All We Got","Why Are We Going","What A Wonderful Gift","When All Was Good",medium,culture-tags,1.0
4,"What does #BDC stand for?","Black Don't Crack","Black Don't Crack","Be Done Cooking","Before Dawn Comes","Big Dreams Come",easy,culture-tags,1.0
5,"What does #ICDBABM stand for?","I Can Do Bad All By Myself","I Can Do Bad All By Myself","I Could Dance Better After Breakfast Maybe","I Can't Decide Between Apple or Banana Muffins","I Choose Dreams Before All Becomes Meaningless",medium,culture-tags,1.0
6,"What does #DCFMUISFY stand for?","Don't Come For Me Unless I Send For You","Don't Come For Me Unless I Send For You","Don't Call Friends More Unless I Say For You","Do Come Find Me Until I Say Forget You","Don't Cry For Me Until I'm Sorry For You",hard,culture-tags,1.0
7,"What does #WGACA stand for?","What Goes Around Comes Around","What Goes Around Comes Around","We Go All Crazy Always","When God Answers Call Again","Why Go Away Come Again",easy,culture-tags,1.0
8,"What does #WSSYWTABT stand for?","When Someone Shows You Who They Are, Believe Them","When Someone Shows You Who They Are, Believe Them","We Should Say Yes When They Ask Before Thinking","Why Should She Yell When They're All Being Terrible","What She Said Yesterday Was Totally About Being True",hard,culture-tags,1.0
9,"What does #WYKBYDB stand for?","When You Know Better You Do Better","When You Know Better You Do Better","Why You Keep Bringing Your Dog Back","What You Know Before You Die Badly","Where You Keep Books You Don't Borrow",medium,culture-tags,1.0
10,"What does #ASAK stand for?","All Skinfolk Ain't Kinfolk","All Skinfolk Ain't Kinfolk","Always Say A Kind","After School At Kitchen","Ask Someone About Knowledge",hard,culture-tags,1.0
11,"What does #AHDWH stand for?","A Hit Dog Will Holler","A Hit Dog Will Holler","All Happy Days Will Happen","After Hours Don't Work Here","Always Have Dreams Worth Having",hard,culture-tags,1.0
12,"What does #IIWII stand for?","It Is What It Is","It Is What It Is","I Imagine What I Invent","If I Win I'm In","I'll Invest When I'm Interested",easy,culture-tags,1.0
13,"What does #KTSE stand for?","Keep That Same Energy","Keep That Same Energy","Know The Secret Eventually","Kiss The Sweet Elephant","Kick The Soccer Everywhere",medium,culture-tags,1.0
14,"What does #MIMS stand for?","Make It Make Sense","Make It Make Sense","Maybe I'm Missing Something","Money Is My Strength","More Ice Means Summer",easy,culture-tags,1.0
15,"What does #IYKYK stand for?","If You Know You Know","If You Know You Know","I'll Yell Kindly You Know","Is Your Kitchen Yellow Kinda","I Yield Knowing You're Kind",easy,culture-tags,1.0
16,"What does #STWWD stand for?","So This What We Doing?","So This What We Doing?","Stop Talking When We're Driving","See The World We're Discovering","Say Thanks When We're Done",medium,culture-tags,1.0
17,"What does #IGTT stand for?","I Got Time Today","I Got Time Today","I'm Going To Town","I Gave Them Treats","I'll Get There Tomorrow",easy,culture-tags,1.0
18,"What does #YHTSI stand for?","You Hate To See It","You Hate To See It","You Have To Say It","Your House Tastes So Interesting","You're Happy To Sing Immediately",medium,culture-tags,1.0
19,"What does #WHHW stand for?","What Had Happened Was","What Had Happened Was","Why He Hates Watermelon","When Harry Helped William","Where Have Horses Wandered",medium,culture-tags,1.0
20,"What does #TDIAL stand for?","The Devil Is A Liar","The Devil Is A Liar","The Dog Is Always Late","That Day I Ate Lunch","The Dream Is About Love",easy,culture-tags,1.0
21,"What does #IGYBCT stand for?","I Guess You Better Call Tyrone","I Guess You Better Call Tyrone","I'm Going Your Best Choice Today","I Got Your Back Come Through","I'll Give You Better Cookies Tomorrow",medium,culture-tags,1.0
22,"What does #IDHTDNBSBAD stand for?","I Don't Have To Do Nothin' But Stay Black And Die","I Don't Have To Do Nothin' But Stay Black And Die","I Don't Have The Desire Now But Soon Be A Doctor","I Did Have To Dance Now But Stopped Being A Dancer","I Don't Hate The Day Now Because Spring Brings A Dawn",hard,culture-tags,1.0
23,"What does #WHDI stand for?","Won't He Do It?","Won't He Do It?","Why He Didn't Invite","When Harry Danced Inside","Where Have Dogs Investigated",easy,culture-tags,1.0
24,"What does #CREAM stand for?","Cash Rules Everything Around Me","Cash Rules Everything Around Me","Create Real Energy And Magic","Cookies Really Excite All Mouths","Can't Remember Every Amazing Memory",medium,culture-tags,1.0
25,"What does #WTDTA stand for?","Where They Do That At?","Where They Do That At?","Why The Dog Talks Always","When They Dance Together Again","What Time Did They Arrive",medium,culture-tags,1.0
26,"What does #OYTI stand for?","Oh You Tried It","Oh You Tried It","Only You Think Inside","Over Your Terrible Ideas","On Your Time Instead",easy,culture-tags,1.0
27,"What does #ANGTFT stand for?","Ain't Nobody Got Time For That","Ain't Nobody Got Time For That","All Night Going To Find Treasure","After Noon Get The Food Together","Always Never Give Them Free Tickets",easy,culture-tags,1.0
28,"What does #YHWA stand for?","Yet Here We Are","Yet Here We Are","You Have Wonderful Attitude","Your House Was Amazing","Yes He Will Arrive",medium,culture-tags,1.0
29,"What does #ISWIS stand for?","I Said What I Said","I Said What I Said","I Saw Where It Started","I'll Stay When I'm Sleepy","I Sing While I Swim",easy,culture-tags,1.0
30,"What does #WAWLT stand for?","Why Are We Like This?","Why Are We Like This?","When All Was Lost Today","What About Winning Later Tonight","Where Are We Living Tomorrow",medium,culture-tags,1.0
31,"What is Soul Thursday?","A weekly gathering for community and connection","A weekly gathering for community and connection","A restaurant","A holiday","A book club",easy,soul-thursday,1.0
32,"What are the core values of Soul Thursday?","Belonging, healing, and purpose","Belonging, healing, and purpose","Food and fun","Work and success","Money and power",medium,soul-thursday,1.0
33,"What does 'Do it for the babies' mean?","Creating a better future for the next generation","Creating a better future for the next generation","Babysitting services","Children's entertainment","Daycare program",easy,memoir,1.0
34,"What is the 31 Flavors Framework about?","Black identity and cultural experiences","Black identity and cultural experiences","Ice cream flavors","Cooking recipes","Music genres",medium,identity,1.0
35,"What age range does the Manhood Academy serve?","18-28","18-28","5-14","30-40","14-18",easy,leadership,1.0
36,"What is the Chronicles of Cabby & Nae Nae about?","Children's stories about belonging and feelings","Children's stories about belonging and feelings","Adult fiction","Sports history","Science fiction",medium,memoir,1.0
37,"What is a 'canon event' in Cabby's story?","Sister's murder and grief","Sister's murder and grief","Graduation","First job","Moving to a new city",hard,memoir,1.0
38,"What does Soul Thursday teach about community?","Everyone has a seat at the table","Everyone has a seat at the table","Only certain people belong","Community is optional","Isolation is better",easy,soul-thursday,1.0
39,"What is Cohort X in the 31 Flavors Framework?","The Lost Ones - those who didn't make it","The Lost Ones - those who didn't make it","The winners","The wealthy","The famous",hard,identity,1.0
40,"What is the purpose of the Manhood Academy?","Leadership development for young men","Leadership development for young men","Sports training","Academic tutoring","Job placement",medium,leadership,1.0
41,"D'Angelo's debut album Brown Sugar was released in which year?","1995","1995","1993","1997","1999",medium,music,1.0
42,"Which D'Angelo song includes the lyric 'How does it feel / To be on your own'?","Untitled (How Does It Feel)","Untitled (How Does It Feel)","Brown Sugar","Lady","Cruisin'",medium,music,1.0
43,"Which neo-soul artist released Mama's Gun in 2000?","Erykah Badu","Erykah Badu","Jill Scott","Lauryn Hill","India.Arie",medium,music,1.0
44,"Maxwell's debut album was titled:","Urban Hang Suite","Urban Hang Suite","Embrya","Now","BLACKsummers'night",medium,music,1.0
45,"Erykah Badu's debut album Baduizm dropped in what year?","1997","1997","1995","1999","2000",easy,music,1.0
46,"Which artist won five Grammys for The Miseducation of Lauryn Hill?","Lauryn Hill","Lauryn Hill","Erykah Badu","Mary J. Blige","Jill Scott",easy,music,1.0
47,"Which artist released Voodoo (2000)?","D'Angelo","D'Angelo","Maxwell","Musiq Soulchild","Anthony Hamilton",medium,music,1.0
48,"Who released Who Is Jill Scott? Words and Sounds Vol. 1?","Jill Scott","Jill Scott","Angie Stone","Floetry","India.Arie",easy,music,1.0
49,"Which group's 1995 hit Water Runs Dry helped define the 90s R&B sound?","Boyz II Men","Boyz II Men","Jodeci","112","Dru Hill",medium,music,1.0
50,"Who is considered 'The Godfather of Soul' and the most sampled musician in hip-hop?","James Brown","James Brown","Marvin Gaye","Curtis Mayfield","Al Green",easy,music,1.0
51,"Whose grooves formed the foundation of the G-Funk sound?","George Clinton","George Clinton","Bootsy Collins","Sly Stone","Rick James",medium,music,1.0
52,"Isaac Hayes' soundtrack for which film became a cornerstone of sampled soul?","Shaft","Shaft","Superfly","Car Wash","Foxy Brown",medium,music,1.0
53,"Which rapper's 'La Di Da Di' is one of the most sampled tracks ever?","Slick Rick","Slick Rick","Doug E. Fresh","Rakim","Big Daddy Kane",hard,music,1.0
54,"Which jazz musician created 'Nautilus'?","Bob James","Bob James","Herbie Hancock","Roy Ayers","Donald Byrd",hard,music,1.0
55,"Which producer heavily sampled Parliament-Funkadelic?","Dr. Dre","Dr. Dre","DJ Premier","Pete Rock","J Dilla",medium,music,1.0
56,"Which DJ is credited with introducing James Brown breaks into Bronx park jams?","Kool Herc","Kool Herc","Grandmaster Flash","Afrika Bambaataa","DJ Jazzy Jay",hard,music,1.0
57,"Which Stevie Wonder song became the backbone of Gangsta's Paradise?","Pastime Paradise","Pastime Paradise","Living for the City","Higher Ground","Superstition",hard,music,1.0
58,"Who created and starred in House of Payne and owns a major film studio?","Tyler Perry","Tyler Perry","Spike Lee","Lee Daniels","Ava DuVernay",easy,film,1.0
59,"Who played Luke Hobbs in Fast & Furious?","Dwayne Johnson","Dwayne Johnson","Vin Diesel","Idris Elba","John Boyega",easy,film,1.0
60,"Who won an Oscar for King Richard?","Will Smith","Will Smith","Denzel Washington","Jamie Foxx","Forest Whitaker",easy,film,1.0
61,"Who voiced Donkey in Shrek?","Eddie Murphy","Eddie Murphy","Chris Rock","Martin Lawrence","Dave Chappelle",easy,film,1.0
62,"Who narrated March of the Penguins?","Morgan Freeman","Morgan Freeman","James Earl Jones","Samuel L. Jackson","Denzel Washington",medium,film,1.0
63,"Who starred in Training Day and directed Fences?","Denzel Washington","Denzel Washington","Morgan Freeman","Samuel L. Jackson","Laurence Fishburne",easy,film,1.0
64,"Who plays Nick Fury in the Marvel films?","Samuel L. Jackson","Samuel L. Jackson","Laurence Fishburne","Don Cheadle","Idris Elba",easy,film,1.0
65,"Who wrote and starred in Friday?","Ice Cube","Ice Cube","Chris Tucker","Mike Epps","John Witherspoon",medium,film,1.0
66,"Who portrayed Ray Charles in Ray?","Jamie Foxx","Jamie Foxx","Terrence Howard","Don Cheadle","Anthony Mackie",easy,film,1.0
67,"Who voiced Marty in Madagascar?","Chris Rock","Chris Rock","Eddie Murphy","Kevin Hart","Martin Lawrence",medium,film,1.0
68,"Which movie shows trauma leaking into a relationship?","Jason's Lyric","Jason's Lyric","Love Jones","Poetic Justice","The Best Man",hard,relationships,1.0
69,"Which song reflects trying to fix a broken relationship?","Nobody's Supposed to Be Here - Deborah Cox","Nobody's Supposed to Be Here - Deborah Cox","Un-Break My Heart - Toni Braxton","I'm Not in Love - 10cc","End of the Road - Boyz II Men",medium,relationships,1.0
70,"Which couple turned public wounds into testimony of healing?","Beyoncé & Jay-Z","Beyoncé & Jay-Z","Will & Jada Smith","Barack & Michelle Obama","Dwyane Wade & Gabrielle Union",medium,relationships,1.0
71,"Which movie shows growth before love alignment?","Love & Basketball","Love & Basketball","Brown Sugar","The Best Man","Two Can Play That Game",medium,relationships,1.0
72,"Which song celebrates emotional maturity?","Golden - Jill Scott","Golden - Jill Scott","Beautiful - India.Arie","Video - India.Arie","A Long Walk - Jill Scott",medium,relationships,1.0
73,"Which biblical couple represents purpose-driven partnership?","Ruth & Boaz","Ruth & Boaz","Adam & Eve","Abraham & Sarah","Isaac & Rebekah",medium,relationships,1.0
74,"At what age did Eddie Murphy begin stand-up?","17","17","15","19","21",hard,film,1.0
75,"Which film gave Eddie Murphy his first major break?","48 Hrs.","48 Hrs.","Trading Places","Beverly Hills Cop","Coming to America",medium,film,1.0
76,"Which Eddie Murphy special featured the red leather suit?","Delirious","Delirious","Raw","Eddie Murphy: Comedian","Saturday Night Live",medium,film,1.0
77,"Which film earned Eddie Murphy award recognition during his comeback?","Dreamgirls","Dreamgirls","Dolemite Is My Name","Mr. Church","Tower Heist",medium,film,1.0
78,"What was Eddie Murphy's 1985 hit song?","Party All the Time","Party All the Time","Put Your Mouth on Me","Love's Alright","How Could It Be",hard,music,1.0
79,"Who was Eddie Murphy's major comedic influence?","Richard Pryor","Richard Pryor","Redd Foxx","Bill Cosby","George Carlin",medium,film,1.0
