ID,Question,Answer,Option1,Option2,Option3,Option4,Difficulty,Category,Version
1,"Would you like them in a","??","??","Would you like them with a","??","",medium,general,1.1
2,"Which rapper would KD bring back?","Biggie","Biggie","2Pac","Heavy D","Pimp C",hard,general,1.1
3,"According to KD’s Black Code, what is the proper seasoning for grits?","Salt, pepper, and butter","Salt, pepper, and butter","Cheese","Sugar","Water",hard,general,1.1
4,"According to KD’s Black Code, who had the best afro back in the day?","Angela Davis","Angela Davis","John Shaft","Pam Grier","Dr. J",hard,general,1.1
5,"what do they call drugs at 74th Street Baptist church?","A shame","A shame","the devil’s work","a sinny sin sin","evil",medium,black-culture,1.1
6,"Which character from Cooley High was a regular castmember on A Different World?","Tyrone","Tyrone","Cochise","Pooter","Preach",medium,black-culture,1.1
7,"When Grandma tells you to “rench” it off, what do you need to complete the task?","A wrench","A wrench","Lots of salt","Hot sauce","Water",medium,black-culture,1.1
8,"According to KD’s Black Code, what is the proper seasoning for grits?","Salt & Pepper","Salt & Pepper","Cheese","Sugar","Water",hard,black-culture,1.1
9,"According to KD’s Black Code, who is the best female soul singer of all-time?","Patti LaBelle","Patti LaBelle","Aretha","Etta James","Anita Baker",hard,black-culture,1.1
10,"According to KD’s Black Code, who had the best afro back in the day?","Angela Davis","Angela Davis","John Shaft","Pam Grier","Dr. J",hard,black-culture,1.1
11,"According to KD’s Black Code, who is the best rap group of all time?","Wu-Tang Clan","Wu-Tang Clan","Run DMC","Outkast","N.W.A.",hard,black-culture,1.1
12,"Which rapper would KD bring back?","Biggie","Biggie","2Pac","Heavy D","Pimp C",hard,black-culture,1.1
13,"According to KD’s Black Code, who is the best male R&B group of the 90’s?","Dru Hill","Dru Hill","Jodeci","Boyz II Men","New Edition",hard,black-culture,1.1
14,"According to KD’s Black Code. You witness a fight. What do you do next?","call the police","call the police","film it with your camera","break it up","yell “Worldstar!”",hard,black-culture,1.1
15,"According to KD’s Black Code, if it’s a bad hair day, what should a woman do?","rock what momma gave her","rock what momma gave her","wear a hat","wear a wrap or a scarf","stay home",hard,black-culture,1.1
16,"Which room were you not allowed in at Grandma’s house?","living room","living room","her all white room","dining room","her bedroom",medium,black-culture,1.1
17,"According to KD’s Black Code, who is the best female R&B group of the 90’s?","SWV","SWV","Xscape","En Vogue","TLC",hard,black-culture,1.1
18,"The cost of Texas Instrument’s most popular graphing calculator, the TI-84 Plus C,  retails for $155 – a price that matches which option?","$55 + 80 quarters + 200 dimes","$55 + 80 quarters + 200 dimes","$100 + 200 quarters + 550 dimes","$155 + 200 quarters + 50 dimes","$100 + 220 quarters",medium,general,1.1
19,"Today, the cost of Texas Instrument’s most popular high school-level graphing calculator, the TI-84 Plus C,  retails for $155 and is represented by which option?","$55 + 80 quarters + 200 dimes","$55 + 80 quarters + 200 dimes","$100 + 200 quarters + 550 dimes","$155 + 200 quarters + 50 dimes","$100 + 200 quarters + 50 dimes",medium,general,1.1
20,"Today, the cost of Texas Instrument’s most popular high school-level graphing calculator, the TI-84 Plus C,  retails for $155 and is represented by which option?","$55 + 80 quarters + 200 dimes","$55 + 80 quarters + 200 dimes","$100 + 200 quarters + 550 dimes","$155 + 200 quarters + 50 dimes","$100 + 200 quarters + 50 dimes",medium,general,1.1
21,"What love movie shows two people becoming WHOLLY ready only after personal growth?","Love & Basketball","Love & Basketball","Brown Sugar","The Best Man","Queen & Slim",medium,relationships,1.1
22,"What couple’s story can be considered the ultimate purpose-driven partnership?","Hosea & Gomer","Hosea & Gomer","Joseph & Mary","Boaz & Ruth","Sarai & Abraham",medium,relationships,1.1
